room_type,neighbourhood_group,minimum_nights,amenities_count,latitude,longitude,calculated_host_listings_count,availability_365,reviews_log,nights_log,predicted_price
home/apt,Brooklyn,3,3,40.72208,-73.95471,1,36,1.791759469,1.386294361,196.7416
home/apt,Brooklyn,3,4,40.72208,-73.95471,1,36,1.791759469,1.386294361,224.10669
home/apt,Brooklyn,3,5,40.72208,-73.95471,1,36,1.791759469,1.386294361,225.17801
home/apt,Brooklyn,3,6,40.72208,-73.95471,1,36,1.791759469,1.386294361,422.40042
home/apt,Brooklyn,3,7,40.72208,-73.95471,1,36,1.791759469,1.386294361,437.26605
home/apt,Brooklyn,3,8,40.72208,-73.95471,1,36,1.791759469,1.386294361,438.87857
home/apt,Brooklyn,3,9,40.72208,-73.95471,1,36,1.791759469,1.386294361,438.87857
home/apt,Brooklyn,3,10,40.72208,-73.95471,1,36,1.791759469,1.386294361,438.87857
home/apt,Brooklyn,3,11,40.72208,-73.95471,1,36,1.791759469,1.386294361,438.87857
home/apt,Brooklyn,3,12,40.72208,-73.95471,1,36,1.791759469,1.386294361,438.87857
home/apt,Brooklyn,3,13,40.72208,-73.95471,1,36,1.791759469,1.386294361,438.87857
home/apt,Brooklyn,3,14,40.72208,-73.95471,1,36,1.791759469,1.386294361,438.87857
home/apt,Brooklyn,3,15,40.72208,-73.95471,1,36,1.791759469,1.386294361,438.87857
home/apt,Brooklyn,3,16,40.72208,-73.95471,1,36,1.791759469,1.386294361,438.87857
home/apt,Brooklyn,3,17,40.72208,-73.95471,1,36,1.791759469,1.386294361,438.87857
home/apt,Brooklyn,3,18,40.72208,-73.95471,1,36,1.791759469,1.386294361,438.87857
home/apt,Brooklyn,3,19,40.72208,-73.95471,1,36,1.791759469,1.386294361,438.87857
home/apt,Brooklyn,3,20,40.72208,-73.95471,1,36,1.791759469,1.386294361,438.87857
home/apt,Brooklyn,3,21,40.72208,-73.95471,1,36,1.791759469,1.386294361,438.87857
home/apt,Brooklyn,3,22,40.72208,-73.95471,1,36,1.791759469,1.386294361,438.87857
home/apt,Brooklyn,3,23,40.72208,-73.95471,1,36,1.791759469,1.386294361,438.87857
home/apt,Brooklyn,3,24,40.72208,-73.95471,1,36,1.791759469,1.386294361,438.87857
home/apt,Brooklyn,3,25,40.72208,-73.95471,1,36,1.791759469,1.386294361,438.87857
home/apt,Brooklyn,3,26,40.72208,-73.95471,1,36,1.791759469,1.386294361,438.87857
home/apt,Brooklyn,3,27,40.72208,-73.95471,1,36,1.791759469,1.386294361,438.87857
home/apt,Brooklyn,3,28,40.72208,-73.95471,1,36,1.791759469,1.386294361,438.87857
home/apt,Brooklyn,3,29,40.72208,-73.95471,1,36,1.791759469,1.386294361,438.87857
home/apt,Brooklyn,3,30,40.72208,-73.95471,1,36,1.791759469,1.386294361,438.87857
home/apt,Brooklyn,4,0,40.72208,-73.95471,1,36,1.791759469,1.609437912,130.54767
home/apt,Brooklyn,4,1,40.72208,-73.95471,1,36,1.791759469,1.609437912,130.54767
home/apt,Brooklyn,4,2,40.72208,-73.95471,1,36,1.791759469,1.609437912,149.08716
home/apt,Brooklyn,4,3,40.72208,-73.95471,1,36,1.791759469,1.609437912,195.38855
home/apt,Brooklyn,4,4,40.72208,-73.95471,1,36,1.791759469,1.609437912,224.88507
home/apt,Brooklyn,4,5,40.72208,-73.95471,1,36,1.791759469,1.609437912,223.90219
home/apt,Brooklyn,4,6,40.72208,-73.95471,1,36,1.791759469,1.609437912,427.17386
home/apt,Brooklyn,4,7,40.72208,-73.95471,1,36,1.791759469,1.609437912,440.87216
home/apt,Brooklyn,4,8,40.72208,-73.95471,1,36,1.791759469,1.609437912,442.49796
home/apt,Brooklyn,4,9,40.72208,-73.95471,1,36,1.791759469,1.609437912,442.49796
home/apt,Brooklyn,4,10,40.72208,-73.95471,1,36,1.791759469,1.609437912,442.49796
home/apt,Brooklyn,4,11,40.72208,-73.95471,1,36,1.791759469,1.609437912,442.49796
home/apt,Brooklyn,4,12,40.72208,-73.95471,1,36,1.791759469,1.609437912,442.49796
home/apt,Brooklyn,4,13,40.72208,-73.95471,1,36,1.791759469,1.609437912,442.49796
home/apt,Brooklyn,4,14,40.72208,-73.95471,1,36,1.791759469,1.609437912,442.49796
home/apt,Brooklyn,4,15,40.72208,-73.95471,1,36,1.791759469,1.609437912,442.49796
home/apt,Brooklyn,4,16,40.72208,-73.95471,1,36,1.791759469,1.609437912,442.49796
home/apt,Brooklyn,4,17,40.72208,-73.95471,1,36,1.791759469,1.609437912,442.49796
home/apt,Brooklyn,4,18,40.72208,-73.95471,1,36,1.791759469,1.609437912,442.49796
home/apt,Brooklyn,4,19,40.72208,-73.95471,1,36,1.791759469,1.609437912,442.49796
home/apt,Brooklyn,4,20,40.72208,-73.95471,1,36,1.791759469,1.609437912,442.49796
home/apt,Brooklyn,4,21,40.72208,-73.95471,1,36,1.791759469,1.609437912,442.49796
home/apt,Brooklyn,4,22,40.72208,-73.95471,1,36,1.791759469,1.609437912,442.49796
home/apt,Brooklyn,4,23,40.72208,-73.95471,1,36,1.791759469,1.609437912,442.49796
home/apt,Brooklyn,4,24,40.72208,-73.95471,1,36,1.791759469,1.609437912,442.49796
home/apt,Brooklyn,4,25,40.72208,-73.95471,1,36,1.791759469,1.609437912,442.49796
home/apt,Brooklyn,4,26,40.72208,-73.95471,1,36,1.791759469,1.609437912,442.49796
home/apt,Brooklyn,4,27,40.72208,-73.95471,1,36,1.791759469,1.609437912,442.49796
home/apt,Brooklyn,4,28,40.72208,-73.95471,1,36,1.791759469,1.609437912,442.49796
home/apt,Brooklyn,4,29,40.72208,-73.95471,1,36,1.791759469,1.609437912,442.49796
home/apt,Brooklyn,4,30,40.72208,-73.95471,1,36,1.791759469,1.609437912,442.49796
home/apt,Brooklyn,5,0,40.72208,-73.95471,1,36,1.791759469,1.791759469,130.34378
home/apt,Brooklyn,5,1,40.72208,-73.95471,1,36,1.791759469,1.791759469,130.34378
home/apt,Brooklyn,5,2,40.72208,-73.95471,1,36,1.791759469,1.791759469,142.69641
home/apt,Brooklyn,5,3,40.72208,-73.95471,1,36,1.791759469,1.791759469,181.3305
home/apt,Brooklyn,5,4,40.72208,-73.95471,1,36,1.791759469,1.791759469,224.48645
home/apt,Brooklyn,5,5,40.72208,-73.95471,1,36,1.791759469,1.791759469,223.25058
home/apt,Brooklyn,5,6,40.72208,-73.95471,1,36,1.791759469,1.791759469,419.37744
home/apt,Brooklyn,5,7,40.72208,-73.95471,1,36,1.791759469,1.791759469,432.8263
home/apt,Brooklyn,5,8,40.72208,-73.95471,1,36,1.791759469,1.791759469,434.42252
home/apt,Brooklyn,5,9,40.72208,-73.95471,1,36,1.791759469,1.791759469,434.42252
home/apt,Brooklyn,5,10,40.72208,-73.95471,1,36,1.791759469,1.791759469,434.42252
home/apt,Brooklyn,5,11,40.72208,-73.95471,1,36,1.791759469,1.791759469,434.42252
home/apt,Brooklyn,5,12,40.72208,-73.95471,1,36,1.791759469,1.791759469,434.42252
home/apt,Brooklyn,5,13,40.72208,-73.95471,1,36,1.791759469,1.791759469,434.42252
home/apt,Brooklyn,5,14,40.72208,-73.95471,1,36,1.791759469,1.791759469,434.42252
home/apt,Brooklyn,5,15,40.72208,-73.95471,1,36,1.791759469,1.791759469,434.42252
home/apt,Brooklyn,5,16,40.72208,-73.95471,1,36,1.791759469,1.791759469,434.42252
home/apt,Brooklyn,5,17,40.72208,-73.95471,1,36,1.791759469,1.791759469,434.42252
home/apt,Brooklyn,5,18,40.72208,-73.95471,1,36,1.791759469,1.791759469,434.42252
home/apt,Brooklyn,5,19,40.72208,-73.95471,1,36,1.791759469,1.791759469,434.42252
home/apt,Brooklyn,5,20,40.72208,-73.95471,1,36,1.791759469,1.791759469,434.42252
home/apt,Brooklyn,5,21,40.72208,-73.95471,1,36,1.791759469,1.791759469,434.42252
home/apt,Brooklyn,5,22,40.72208,-73.95471,1,36,1.791759469,1.791759469,434.42252
home/apt,Brooklyn,5,23,40.72208,-73.95471,1,36,1.791759469,1.791759469,434.42252
home/apt,Brooklyn,5,24,40.72208,-73.95471,1,36,1.791759469,1.791759469,434.42252
home/apt,Brooklyn,5,25,40.72208,-73.95471,1,36,1.791759469,1.791759469,434.42252
home/apt,Brooklyn,5,26,40.72208,-73.95471,1,36,1.791759469,1.791759469,434.42252
home/apt,Brooklyn,5,27,40.72208,-73.95471,1,36,1.791759469,1.791759469,434.42252
home/apt,Brooklyn,5,28,40.72208,-73.95471,1,36,1.791759469,1.791759469,434.42252
home/apt,Brooklyn,5,29,40.72208,-73.95471,1,36,1.791759469,1.791759469,434.42252
home/apt,Brooklyn,5,30,40.72208,-73.95471,1,36,1.791759469,1.791759469,434.42252
home/apt,Brooklyn,6,0,40.72208,-73.95471,1,36,1.791759469,1.945910149,129.20227
home/apt,Brooklyn,6,1,40.72208,-73.95471,1,36,1.791759469,1.945910149,129.20227
home/apt,Brooklyn,6,2,40.72208,-73.95471,1,36,1.791759469,1.945910149,142.89485
home/apt,Brooklyn,6,3,40.72208,-73.95471,1,36,1.791759469,1.945910149,182.50398
home/apt,Brooklyn,6,4,40.72208,-73.95471,1,36,1.791759469,1.945910149,223.13576
home/apt,Brooklyn,6,5,40.72208,-73.95471,1,36,1.791759469,1.945910149,221.90729
home/apt,Brooklyn,6,6,40.72208,-73.95471,1,36,1.791759469,1.945910149,419.41373
home/apt,Brooklyn,6,7,40.72208,-73.95471,1,36,1.791759469,1.945910149,428.1724
home/apt,Brooklyn,6,8,40.72208,-73.95471,1,36,1.791759469,1.945910149,429.19684
home/apt,Brooklyn,6,9,40.72208,-73.95471,1,36,1.791759469,1.945910149,429.19684
home/apt,Brooklyn,6,10,40.72208,-73.95471,1,36,1.791759469,1.945910149,429.19684
home/apt,Brooklyn,6,11,40.72208,-73.95471,1,36,1.791759469,1.945910149,429.19684
home/apt,Brooklyn,6,12,40.72208,-73.95471,1,36,1.791759469,1.945910149,429.19684
home/apt,Brooklyn,6,13,40.72208,-73.95471,1,36,1.791759469,1.945910149,429.19684
home/apt,Brooklyn,6,14,40.72208,-73.95471,1,36,1.791759469,1.945910149,429.19684
home/apt,Brooklyn,6,15,40.72208,-73.95471,1,36,1.791759469,1.945910149,429.19684
home/apt,Brooklyn,6,16,40.72208,-73.95471,1,36,1.791759469,1.945910149,429.19684
home/apt,Brooklyn,6,17,40.72208,-73.95471,1,36,1.791759469,1.945910149,429.19684
home/apt,Brooklyn,6,18,40.72208,-73.95471,1,36,1.791759469,1.945910149,429.19684
home/apt,Brooklyn,6,19,40.72208,-73.95471,1,36,1.791759469,1.945910149,429.19684
home/apt,Brooklyn,6,20,40.72208,-73.95471,1,36,1.791759469,1.945910149,429.19684
home/apt,Brooklyn,6,21,40.72208,-73.95471,1,36,1.791759469,1.945910149,429.19684
home/apt,Brooklyn,6,22,40.72208,-73.95471,1,36,1.791759469,1.945910149,429.19684
home/apt,Brooklyn,6,23,40.72208,-73.95471,1,36,1.791759469,1.945910149,429.19684
home/apt,Brooklyn,6,24,40.72208,-73.95471,1,36,1.791759469,1.945910149,429.19684
home/apt,Brooklyn,6,25,40.72208,-73.95471,1,36,1.791759469,1.945910149,429.19684
home/apt,Brooklyn,6,26,40.72208,-73.95471,1,36,1.791759469,1.945910149,429.19684
home/apt,Brooklyn,6,27,40.72208,-73.95471,1,36,1.791759469,1.945910149,429.19684
home/apt,Brooklyn,6,28,40.72208,-73.95471,1,36,1.791759469,1.945910149,429.19684
home/apt,Brooklyn,6,29,40.72208,-73.95471,1,36,1.791759469,1.945910149,429.19684
home/apt,Brooklyn,6,30,40.72208,-73.95471,1,36,1.791759469,1.945910149,429.19684
home/apt,Brooklyn,7,0,40.72208,-73.95471,1,36,1.791759469,2.079441542,128.2584
home/apt,Brooklyn,7,1,40.72208,-73.95471,1,36,1.791759469,2.079441542,128.2584
home/apt,Brooklyn,7,2,40.72208,-73.95471,1,36,1.791759469,2.079441542,140.53662
home/apt,Brooklyn,7,3,40.72208,-73.95471,1,36,1.791759469,2.079441542,179.09634
home/apt,Brooklyn,7,4,40.72208,-73.95471,1,36,1.791759469,2.079441542,214.6499
home/apt,Brooklyn,7,5,40.72208,-73.95471,1,36,1.791759469,2.079441542,216.32655
home/apt,Brooklyn,7,6,40.72208,-73.95471,1,36,1.791759469,2.079441542,412.35538
home/apt,Brooklyn,7,7,40.72208,-73.95471,1,36,1.791759469,2.079441542,420.967
home/apt,Brooklyn,7,8,40.72208,-73.95471,1,36,1.791759469,2.079441542,421.97424
home/apt,Brooklyn,7,9,40.72208,-73.95471,1,36,1.791759469,2.079441542,421.97424
home/apt,Brooklyn,7,10,40.72208,-73.95471,1,36,1.791759469,2.079441542,421.97424
home/apt,Brooklyn,7,11,40.72208,-73.95471,1,36,1.791759469,2.079441542,421.97424
home/apt,Brooklyn,7,12,40.72208,-73.95471,1,36,1.791759469,2.079441542,421.97424
home/apt,Brooklyn,7,13,40.72208,-73.95471,1,36,1.791759469,2.079441542,421.97424
home/apt,Brooklyn,7,14,40.72208,-73.95471,1,36,1.791759469,2.079441542,421.97424
home/apt,Brooklyn,7,15,40.72208,-73.95471,1,36,1.791759469,2.079441542,421.97424
home/apt,Brooklyn,7,16,40.72208,-73.95471,1,36,1.791759469,2.079441542,421.97424
home/apt,Brooklyn,7,17,40.72208,-73.95471,1,36,1.791759469,2.079441542,421.97424
home/apt,Brooklyn,7,18,40.72208,-73.95471,1,36,1.791759469,2.079441542,421.97424
home/apt,Brooklyn,7,19,40.72208,-73.95471,1,36,1.791759469,2.079441542,421.97424
home/apt,Brooklyn,7,20,40.72208,-73.95471,1,36,1.791759469,2.079441542,421.97424
home/apt,Brooklyn,7,21,40.72208,-73.95471,1,36,1.791759469,2.079441542,421.97424
home/apt,Brooklyn,7,22,40.72208,-73.95471,1,36,1.791759469,2.079441542,421.97424
home/apt,Brooklyn,7,23,40.72208,-73.95471,1,36,1.791759469,2.079441542,421.97424
home/apt,Brooklyn,7,24,40.72208,-73.95471,1,36,1.791759469,2.079441542,421.97424
home/apt,Brooklyn,7,25,40.72208,-73.95471,1,36,1.791759469,2.079441542,421.97424
home/apt,Brooklyn,7,26,40.72208,-73.95471,1,36,1.791759469,2.079441542,421.97424
home/apt,Brooklyn,7,27,40.72208,-73.95471,1,36,1.791759469,2.079441542,421.97424
home/apt,Brooklyn,7,28,40.72208,-73.95471,1,36,1.791759469,2.079441542,421.97424
home/apt,Brooklyn,7,29,40.72208,-73.95471,1,36,1.791759469,2.079441542,421.97424
home/apt,Brooklyn,7,30,40.72208,-73.95471,1,36,1.791759469,2.079441542,421.97424
home/apt,Brooklyn,8,0,40.72208,-73.95471,1,36,1.791759469,2.197224577,124.414116
home/apt,Brooklyn,8,1,40.72208,-73.95471,1,36,1.791759469,2.197224577,124.414116
home/apt,Brooklyn,8,2,40.72208,-73.95471,1,36,1.791759469,2.197224577,133.58351
home/apt,Brooklyn,8,3,40.72208,-73.95471,1,36,1.791759469,2.197224577,176.92586
home/apt,Brooklyn,8,4,40.72208,-73.95471,1,36,1.791759469,2.197224577,214.57979
home/apt,Brooklyn,8,5,40.72208,-73.95471,1,36,1.791759469,2.197224577,216.25568
home/apt,Brooklyn,8,6,40.72208,-73.95471,1,36,1.791759469,2.197224577,395.70462
home/apt,Brooklyn,8,7,40.72208,-73.95471,1,36,1.791759469,2.197224577,403.96933
home/apt,Brooklyn,8,8,40.72208,-73.95471,1,36,1.791759469,2.197224577,404.936
home/apt,Brooklyn,8,9,40.72208,-73.95471,1,36,1.791759469,2.197224577,404.936
home/apt,Brooklyn,8,10,40.72208,-73.95471,1,36,1.791759469,2.197224577,404.936
home/apt,Brooklyn,8,11,40.72208,-73.95471,1,36,1.791759469,2.197224577,404.936
home/apt,Brooklyn,8,12,40.72208,-73.95471,1,36,1.791759469,2.197224577,404.936
home/apt,Brooklyn,8,13,40.72208,-73.95471,1,36,1.791759469,2.197224577,404.936
home/apt,Brooklyn,8,14,40.72208,-73.95471,1,36,1.791759469,2.197224577,404.936
home/apt,Brooklyn,8,15,40.72208,-73.95471,1,36,1.791759469,2.197224577,404.936
home/apt,Brooklyn,8,16,40.72208,-73.95471,1,36,1.791759469,2.197224577,404.936
home/apt,Brooklyn,8,17,40.72208,-73.95471,1,36,1.791759469,2.197224577,404.936
home/apt,Brooklyn,8,18,40.72208,-73.95471,1,36,1.791759469,2.197224577,404.936
home/apt,Brooklyn,8,19,40.72208,-73.95471,1,36,1.791759469,2.197224577,404.936
home/apt,Brooklyn,8,20,40.72208,-73.95471,1,36,1.791759469,2.197224577,404.936
home/apt,Brooklyn,8,21,40.72208,-73.95471,1,36,1.791759469,2.197224577,404.936
home/apt,Brooklyn,8,22,40.72208,-73.95471,1,36,1.791759469,2.197224577,404.936
home/apt,Brooklyn,8,23,40.72208,-73.95471,1,36,1.791759469,2.197224577,404.936
home/apt,Brooklyn,8,24,40.72208,-73.95471,1,36,1.791759469,2.197224577,404.936
home/apt,Brooklyn,8,25,40.72208,-73.95471,1,36,1.791759469,2.197224577,404.936
home/apt,Brooklyn,8,26,40.72208,-73.95471,1,36,1.791759469,2.197224577,404.936
home/apt,Brooklyn,8,27,40.72208,-73.95471,1,36,1.791759469,2.197224577,404.936
home/apt,Brooklyn,8,28,40.72208,-73.95471,1,36,1.791759469,2.197224577,404.936
home/apt,Brooklyn,8,29,40.72208,-73.95471,1,36,1.791759469,2.197224577,404.936
home/apt,Brooklyn,8,30,40.72208,-73.95471,1,36,1.791759469,2.197224577,404.936
home/apt,Brooklyn,9,0,40.72208,-73.95471,1,36,1.791759469,2.302585093,123.748795
home/apt,Brooklyn,9,1,40.72208,-73.95471,1,36,1.791759469,2.302585093,123.748795
home/apt,Brooklyn,9,2,40.72208,-73.95471,1,36,1.791759469,2.302585093,133.44292
home/apt,Brooklyn,9,3,40.72208,-73.95471,1,36,1.791759469,2.302585093,170.75491
home/apt,Brooklyn,9,4,40.72208,-73.95471,1,36,1.791759469,2.302585093,210.30629
home/apt,Brooklyn,9,5,40.72208,-73.95471,1,36,1.791759469,2.302585093,212.15631
home/apt,Brooklyn,9,6,40.72208,-73.95471,1,36,1.791759469,2.302585093,394.28445
home/apt,Brooklyn,9,7,40.72208,-73.95471,1,36,1.791759469,2.302585093,402.5196
home/apt,Brooklyn,9,8,40.72208,-73.95471,1,36,1.791759469,2.302585093,403.48282
home/apt,Brooklyn,9,9,40.72208,-73.95471,1,36,1.791759469,2.302585093,403.48282
home/apt,Brooklyn,9,10,40.72208,-73.95471,1,36,1.791759469,2.302585093,403.48282
home/apt,Brooklyn,9,11,40.72208,-73.95471,1,36,1.791759469,2.302585093,403.48282
home/apt,Brooklyn,9,12,40.72208,-73.95471,1,36,1.791759469,2.302585093,403.48282
home/apt,Brooklyn,9,13,40.72208,-73.95471,1,36,1.791759469,2.302585093,403.48282
home/apt,Brooklyn,9,14,40.72208,-73.95471,1,36,1.791759469,2.302585093,403.48282
home/apt,Brooklyn,9,15,40.72208,-73.95471,1,36,1.791759469,2.302585093,403.48282
home/apt,Brooklyn,9,16,40.72208,-73.95471,1,36,1.791759469,2.302585093,403.48282
home/apt,Brooklyn,9,17,40.72208,-73.95471,1,36,1.791759469,2.302585093,403.48282
home/apt,Brooklyn,9,18,40.72208,-73.95471,1,36,1.791759469,2.302585093,403.48282
home/apt,Brooklyn,9,19,40.72208,-73.95471,1,36,1.791759469,2.302585093,403.48282
home/apt,Brooklyn,9,20,40.72208,-73.95471,1,36,1.791759469,2.302585093,403.48282
home/apt,Brooklyn,9,21,40.72208,-73.95471,1,36,1.791759469,2.302585093,403.48282
home/apt,Brooklyn,9,22,40.72208,-73.95471,1,36,1.791759469,2.302585093,403.48282
home/apt,Brooklyn,9,23,40.72208,-73.95471,1,36,1.791759469,2.302585093,403.48282
home/apt,Brooklyn,9,24,40.72208,-73.95471,1,36,1.791759469,2.302585093,403.48282
home/apt,Brooklyn,9,25,40.72208,-73.95471,1,36,1.791759469,2.302585093,403.48282
home/apt,Brooklyn,9,26,40.72208,-73.95471,1,36,1.791759469,2.302585093,403.48282
home/apt,Brooklyn,9,27,40.72208,-73.95471,1,36,1.791759469,2.302585093,403.48282
home/apt,Brooklyn,9,28,40.72208,-73.95471,1,36,1.791759469,2.302585093,403.48282
home/apt,Brooklyn,9,29,40.72208,-73.95471,1,36,1.791759469,2.302585093,403.48282
home/apt,Brooklyn,9,30,40.72208,-73.95471,1,36,1.791759469,2.302585093,403.48282
home/apt,Brooklyn,10,0,40.72208,-73.95471,1,36,1.791759469,2.397895273,121.32042
home/apt,Brooklyn,10,1,40.72208,-73.95471,1,36,1.791759469,2.397895273,121.32042
home/apt,Brooklyn,10,2,40.72208,-73.95471,1,36,1.791759469,2.397895273,129.44095
home/apt,Brooklyn,10,3,40.72208,-73.95471,1,36,1.791759469,2.397895273,159.67119
home/apt,Brooklyn,10,4,40.72208,-73.95471,1,36,1.791759469,2.397895273,197.64838
home/apt,Brooklyn,10,5,40.72208,-73.95471,1,36,1.791759469,2.397895273,199.90433
home/apt,Brooklyn,10,6,40.72208,-73.95471,1,36,1.791759469,2.397895273,380.1031
home/apt,Brooklyn,10,7,40.72208,-73.95471,1,36,1.791759469,2.397895273,390.02853
